"incident_report_number","crime_type","ucr_code","family_violence","occ_date_time","occ_date","occ_time","rep_date_time","rep_date","rep_time","location_type","address","zip_code","council_district","sector","district","pra","census_tract","clearance_status","clearance_date","ucr_category","category_description","x_coordinate","y_coordinate","latitude","longitude","location"
"20215006549","BURGLARY OF VEHICLE","601","N","2021-02-20T17:00:00.000","2021-02-20T00:00:00.000","1700","2021-02-20T23:35:00.000","2021-02-20T00:00:00.000","2335","RESTAURANTS","6319 N IH 35 SVRD NB","78752","4","ID","1","280",,,,"23F","Theft","3125701","3125701","30.32530599","-97.7051651","
,  
(30.32530599, -97.7051651)"
"20215006547","BURGLARY NON RESIDENCE","502","N","2021-02-20T14:47:00.000","2021-02-20T00:00:00.000","1447","2021-02-20T18:41:00.000","2021-02-20T00:00:00.000","1841","PARKING LOTS / GARAGE","13301 CENTER LAKE DR","78753","7","ED","6","206",,,,"220","Burglary","3137519","3137519","30.4088995","-97.66538535","
,  
(30.4088995, -97.66538535)"
"2021510833","CRIMINAL MISCHIEF","1400","N","2021-02-20T14:41:00.000","2021-02-20T00:00:00.000","1441","2021-02-20T14:41:00.000","2021-02-20T00:00:00.000","1441","CONVENIENCE STORE","10111 N LAMAR BLVD","78753","4","ED","1","240",,,,,,"3129379","3129379","30.37078232","-97.69225943","
,  
(30.37078232, -97.69225943)"
"2021510758","RESISTING ARREST OR SEARCH","905","N","2021-02-20T14:30:00.000","2021-02-20T00:00:00.000","1430","2021-02-20T16:30:00.000","2021-02-20T00:00:00.000","1630","STREETS / HWY / ROAD / ALLEY","310 E 6TH ST","78701","9","GE","2","381",,,,,,"3115258","3115258","30.26755605","-97.73982607","
,  
(30.26755605, -97.73982607)"
"2021210510728","CRIMINAL TRESPASS","2716","N","2021-02-20T13:47:00.000","2021-02-20T00:00:00.000","1347","2021-02-20T13:47:00.000","2021-02-20T00:00:00.000","1347","CONVENIENCE STORE","10111 N LAMAR BLVD","78753","4","ED","1","240",,,,,,"3129379","3129379","30.37078232","-97.69225943","
,  
(30.37078232, -97.69225943)"
"2021510653","AGG ROBBERY/DEADLY WEAPON","300","N","2021-02-20T12:18:00.000","2021-02-20T00:00:00.000","1218","2021-02-20T12:18:00.000","2021-02-20T00:00:00.000","1218","STREETS / HWY / ROAD / ALLEY","901 NECHES ST","78701","9","GE","1","383",,"C","2021-02-20T00:00:00.000","120","Robbery","3116154","3116154","30.26973339","-97.73692853","
,  
(30.26973339, -97.73692853)"
"2021510443","AUTO THEFT","700","N","2021-02-20T09:00:00.000","2021-02-20T00:00:00.000","900","2021-02-20T09:05:00.000","2021-02-20T00:00:00.000","905","PARKING LOTS / GARAGE","2410 E RIVERSIDE DR","78741","3","HE","2","441",,,,"240","Auto Theft","3120441","3120441","30.23677947","-97.72423542","
,  
(30.23677947, -97.72423542)"
"2021510402","AGG ASSAULT","402","N","2021-02-20T08:32:00.000","2021-02-20T00:00:00.000","832","2021-02-20T09:05:00.000","2021-02-20T00:00:00.000","905","RESIDENCE / HOME","2504 NEW YORK DR","78702","1","CH","2","415",,"C","2021-02-20T00:00:00.000","13A","Aggravated Assault","3123546","3123546","30.27394366","-97.71339206","
,  
(30.27394366, -97.71339206)"
"20215006539","RUNAWAY CHILD","4100","N","2021-02-20T01:00:00.000","2021-02-20T00:00:00.000","100","2021-02-20T03:15:00.000","2021-02-20T00:00:00.000","315","RESIDENCE / HOME","13217 SEA BISCUIT DR","78617","2","HE","7","612",,,,,,"3156153","3156153","30.17250831","-97.61292651","
,  
(30.17250831, -97.61292651)"
"2021510041","AUTO THEFT","700","N","2021-02-20T00:39:00.000","2021-02-20T00:00:00.000","39","2021-02-20T00:39:00.000","2021-02-20T00:00:00.000","39","PARKING LOTS / GARAGE","10107 RUTLAND VILLAGE EAST","78758","4","ED","2","219",,,,"240","Auto Theft","3123911","3123911","30.3786534","-97.70938936","
,  
(30.3786534, -97.70938936)"
